Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -299.3246    -307.1513       7.8267   829.5
0.0010        -300.1262    -315.5710      15.4448  1636.8
0.0015        -299.7684    -318.3006      18.5322  1964.0
0.0020        -299.6877    -320.0261      20.3384  2155.4
0.0025        -300.5587    -324.2175      23.6589  2507.3
0.0030        -300.9966    -325.4707      24.4741  2593.7
0.0035        -301.7438    -325.3973      23.6535  2506.7
0.0040        -302.6788    -325.1211      22.4423  2378.4
0.0045        -303.7200    -324.9737      21.2538  2252.4
0.0050        -304.8470    -325.0476      20.2006  2140.8
0.0055        -306.0591    -325.3104      19.2513  2040.2
0.0060        -307.3373    -325.6532      18.3160  1941.1
0.0065        -308.6578    -325.9883      17.3306  1836.6
0.0070        -309.9879    -326.2726      16.2847  1725.8
0.0075        -311.3098    -326.5034      15.1936  1610.2
0.0080        -312.6088    -326.6907      14.0819  1492.4
0.0085        -313.8677    -326.8480      12.9803  1375.6
0.0090        -315.0735    -326.9929      11.9193  1263.2
0.0095        -316.2202    -327.1456      10.9254  1157.8
0.0100        -317.3050    -327.3244      10.0195  1061.8
0.0105        -318.3290    -327.5372       9.2083   975.9
0.0110        -319.2918    -327.7668       8.4750   898.2
0.0115        -320.1957    -327.9896       7.7939   826.0
0.0120        -321.0381    -328.1766       7.1386   756.5
0.0125        -321.8167    -328.3083       6.4916   688.0
0.0130        -322.5298    -328.3838       5.8540   620.4
0.0135        -323.1760    -328.4167       5.2408   555.4
0.0140        -323.7566    -328.4377       4.6811   496.1
0.0145        -324.2794    -328.4860       4.2066   445.8
0.0150        -324.7553    -328.5911       3.8358   406.5
0.0155        -325.1965    -328.7608       3.5643   377.7
0.0160        -325.6123    -328.9774       3.3650   356.6
0.0165        -326.0055    -329.2089       3.2034   339.5
0.0170        -326.3800    -329.4341       3.0540   323.7
0.0175        -326.7352    -329.6391       2.9039   307.7
0.0180        -327.0713    -329.8222       2.7509   291.5
0.0185        -327.3884    -329.9897       2.6014   275.7
0.0190        -327.6879    -330.1523       2.4644   261.2
0.0195        -327.9713    -330.3195       2.3483   248.9
0.0200        -328.2424    -330.4997       2.2573   239.2
0.0205        -328.5040    -330.6952       2.1912   232.2
0.0210        -328.7588    -330.9068       2.1480   227.6
0.0215        -329.0091    -331.1341       2.1250   225.2
0.0220        -329.2579    -331.3773       2.1194   224.6
0.0225        -329.5067    -331.6368       2.1302   225.8
0.0230        -329.7570    -331.9136       2.1566   228.6
0.0235        -330.0125    -332.2100       2.1975   232.9
0.0240        -330.2735    -332.5249       2.2515   238.6
0.0245        -330.5387    -332.8536       2.3149   245.3
0.0250        -330.8055    -333.1860       2.3804   252.3
0.0255        -331.0766    -333.5135       2.4368   258.2
0.0260        -331.3533    -333.8215       2.4682   261.6
0.0265        -331.6322    -334.0794       2.4472   259.4
0.0270        -331.9047    -334.2335       2.3288   246.8
0.0275        -332.1523    -334.2228       2.0705   219.4
0.0280        -332.3541    -334.0480       1.6939   179.5
0.0285        -332.5059    -333.8459       1.3400   142.0
0.0290        -332.6395    -333.8339       1.1944   126.6
0.0295        -332.7852    -334.0622       1.2771   135.3
0.0300        -332.9407    -334.3558       1.4150   150.0
0.0305        -333.0956    -334.5484       1.4528   154.0
0.0310        -333.2421    -334.6076       1.3655   144.7
0.0315        -333.3738    -334.5800       1.2062   127.8
0.0320        -333.4884    -334.5226       1.0342   109.6
0.0325        -333.5866    -334.4748       0.8882    94.1
0.0330        -333.6720    -334.4585       0.7866    83.4
0.0335        -333.7491    -334.4822       0.7331    77.7
0.0340        -333.8225    -334.5464       0.7238    76.7
0.0345        -333.8964    -334.6473       0.7509    79.6
0.0350        -333.9740    -334.7774       0.8034    85.1
0.0355        -334.0567    -334.9249       0.8682    92.0
0.0360        -334.1454    -335.0752       0.9298    98.5
0.0365        -334.2385    -335.2095       0.9710   102.9
0.0370        -334.3324    -335.3091       0.9766   103.5
0.0375        -334.4231    -335.3615       0.9384    99.4
0.0380        -334.5059    -335.3697       0.8638    91.5
0.0385        -334.5796    -335.3602       0.7805    82.7
0.0390        -334.6469    -335.3699       0.7230    76.6
0.0395        -334.7123    -335.4209       0.7086    75.1
0.0400        -334.7785    -335.5039       0.7253    76.9
0.0405        -334.8456    -335.5895       0.7439    78.8
0.0410        -334.9115    -335.6532       0.7417    78.6
0.0415        -334.9744    -335.6887       0.7143    75.7
0.0420        -335.0332    -335.7025       0.6693    70.9
0.0425        -335.0873    -335.7061       0.6189    65.6
0.0430        -335.1368    -335.7088       0.5720    60.6
0.0435        -335.1824    -335.7163       0.5339    56.6
0.0440        -335.2250    -335.7319       0.5068    53.7
0.0445        -335.2653    -335.7552       0.4898    51.9
0.0450        -335.3040    -335.7848       0.4808    51.0
0.0455        -335.3418    -335.8198       0.4780    50.7
0.0460        -335.3790    -335.8592       0.4802    50.9
0.0465        -335.4160    -335.9023       0.4863    51.5
0.0470        -335.4533    -335.9484       0.4951    52.5
0.0475        -335.4907    -335.9958       0.5051    53.5
0.0480        -335.5284    -336.0422       0.5138    54.5
0.0485        -335.5661    -336.0850       0.5189    55.0
0.0490        -335.6035    -336.1215       0.5181    54.9
0.0495        -335.6398    -336.1494       0.5096    54.0
0.0500        -335.6746    -336.1682       0.4936    52.3
0.0505        -335.7075    -336.1792       0.4717    50.0
0.0510        -335.7381    -336.1858       0.4477    47.4
0.0515        -335.7667    -336.1942       0.4276    45.3
0.0520        -335.7939    -336.2097       0.4159    44.1
0.0525        -335.8204    -336.2345       0.4140    43.9
0.0530        -335.8468    -336.2659       0.4192    44.4
0.0535        -335.8730    -336.2992       0.4262    45.2
0.0540        -335.8990    -336.3299       0.4309    45.7
0.0545        -335.9247    -336.3554       0.4307    45.6
0.0550        -335.9495    -336.3745       0.4250    45.0
0.0555        -335.9735    -336.3886       0.4151    44.0
0.0560        -335.9964    -336.3994       0.4030    42.7
0.0565        -336.0182    -336.4087       0.3906    41.4
0.0570        -336.0389    -336.4182       0.3793    40.2
0.0575        -336.0586    -336.4282       0.3696    39.2
0.0580        -336.0776    -336.4392       0.3616    38.3
0.0585        -336.0957    -336.4510       0.3552    37.6
0.0590        -336.1132    -336.4637       0.3504    37.1
0.0595        -336.1302    -336.4774       0.3472    36.8
0.0600        -336.1467    -336.4922       0.3456    36.6
0.0605        -336.1628    -336.5081       0.3453    36.6
0.0610        -336.1785    -336.5246       0.3461    36.7
0.0615        -336.1939    -336.5412       0.3473    36.8
0.0620        -336.2089    -336.5573       0.3484    36.9
0.0625        -336.2236    -336.5724       0.3489    37.0
0.0630        -336.2378    -336.5861       0.3482    36.9
0.0635        -336.2516    -336.5981       0.3465    36.7
0.0640        -336.2649    -336.6086       0.3437    36.4
0.0645        -336.2777    -336.6179       0.3401    36.0
0.0650        -336.2900    -336.6262       0.3362    35.6
0.0655        -336.3018    -336.6343       0.3325    35.2
0.0660        -336.3132    -336.6427       0.3295    34.9
0.0665        -336.3241    -336.6520       0.3280    34.8
0.0670        -336.3346    -336.6628       0.3283    34.8
0.0675        -336.3448    -336.6755       0.3307    35.0
0.0680        -336.3548    -336.6900       0.3352    35.5
0.0685        -336.3646    -336.7062       0.3416    36.2
0.0690        -336.3742    -336.7235       0.3492    37.0
0.0695        -336.3837    -336.7411       0.3574    37.9
0.0700        -336.3930    -336.7583       0.3652    38.7
0.0705        -336.4022    -336.7741       0.3720    39.4
0.0710        -336.4110    -336.7879       0.3769    39.9
0.0715        -336.4194    -336.7993       0.3798    40.3
0.0720        -336.4275    -336.8085       0.3810    40.4
0.0725        -336.4351    -336.8167       0.3816    40.4
