# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
       1860.36180049       8.32667268e-17    -1.220893037754e-03     1.922264452555e-03     3.546975415607e-03
       1861.60204169       2.08166817e-15    -1.171841628084e-03     2.026078398278e-03     3.549459802456e-03
       1862.84228289      -2.78943535e-15    -1.123162996311e-03     2.123519314280e-03     3.552121687744e-03
       1864.08252409      -2.17881269e-15    -1.075609242351e-03     2.215887302048e-03     3.554896998103e-03
       1865.32276529      -3.16413562e-15    -1.029932170790e-03     2.303275406695e-03     3.557765666818e-03
       1866.56300649       9.15933995e-16    -9.868581081389e-04     2.383203580389e-03     3.560805132601e-03
       1867.80324769      -2.74780199e-15    -9.470736480721e-04     2.454404491961e-03     3.564106278884e-03
       1869.04348889      -9.85322934e-16    -9.112160148157e-04     2.516049047179e-03     3.567657124462e-03
       1870.28373009      -1.48492330e-15    -8.798124843521e-04     2.566483282132e-03     3.571360136720e-03
       1871.52397129      -1.63757896e-15    -8.534308681498e-04     2.605141416911e-03     3.575156537459e-03
       1872.76421249       1.97064587e-15    -8.325572424388e-04     2.631738208444e-03     3.578964169519e-03
       1874.00445369      -1.29063427e-15    -8.174635818490e-04     2.645952470869e-03     3.582704103773e-03
       1875.24469489       1.31838984e-15    -8.084373463704e-04     2.648003811945e-03     3.586346993489e-03
       1876.48493609       3.52495810e-15    -8.056983217788e-04     2.638390044735e-03     3.589843185525e-03
       1877.72517729      -3.66373598e-15    -8.093668799782e-04     2.617844107749e-03     3.593069465309e-03
       1878.96541849      -1.58206781e-15    -8.192992966318e-04     2.586973030678e-03     3.595945859588e-03
       1880.20565969       1.94289029e-16    -8.353038437079e-04     2.546755873030e-03     3.598401007927e-03
       1881.44590089       6.38378239e-16    -8.571123099723e-04     2.498202691785e-03     3.600351742365e-03
       1882.68614209      -2.38697950e-15    -8.843033338293e-04     2.442413638777e-03     3.601745741331e-03
       1883.92638329       9.71445147e-16    -9.163878338683e-04     2.380574257274e-03     3.602568370058e-03
       1885.16662450       2.10942375e-15    -9.528900329983e-04     2.313836171496e-03     3.602803189419e-03
       1886.40686570       3.45556916e-15    -9.932267895043e-04     2.243398386602e-03     3.602406968256e-03
       1887.64710690      -4.49640325e-15    -1.036697379798e-03     2.170401244054e-03     3.601347316529e-03
       1888.88734810      -1.66533454e-16    -1.082575350067e-03     2.096049318464e-03     3.599662518529e-03
       1890.12758930      -2.37310172e-15    -1.130116782520e-03     2.021415121415e-03     3.597421476555e-03
       1891.36783050      -1.38777878e-16    -1.178526010711e-03     1.947577814996e-03     3.594638695335e-03
       1892.60807170      -9.15933995e-16    -1.227027147039e-03     1.875511843807e-03     3.591312134890e-03
       1893.84831290       1.24900090e-16    -1.274866359195e-03     1.806163601231e-03     3.587475759271e-03
       1895.08855410       9.71445147e-17    -1.321314629034e-03     1.740355533486e-03     3.583195119774e-03
       1896.32879530       2.91433544e-16    -1.365679414423e-03     1.678839592269e-03     3.578545495588e-03
       1897.56903650      -2.02615702e-15    -1.407340891578e-03     1.622232460451e-03     3.573596295188e-03
       1898.80927770      -1.63757896e-15    -1.445648975511e-03     1.571219442893e-03     3.568357066117e-03
       1900.04951890      -4.16333634e-16    -1.480073645223e-03     1.526417948782e-03     3.562844866327e-03
       1901.28976010       8.32667268e-16    -1.510173949718e-03     1.488410529411e-03     3.557134221987e-03
       1902.53000130      -1.29063427e-15    -1.535520324995e-03     1.457462159567e-03     3.551315868152e-03
       1903.77024250      -2.10942375e-15    -1.555802875574e-03     1.433764240167e-03     3.545520309076e-03
       1905.01048370      -2.08166817e-16    -1.570893001059e-03     1.417408141935e-03     3.539833243660e-03
       1906.25072490      -1.83186799e-15    -1.580569171651e-03     1.408530523396e-03     3.534269090172e-03
       1907.49096610      -4.16333634e-17    -1.584626028700e-03     1.407178713903e-03     3.528833399933e-03
       1908.73120730      -2.55351296e-15    -1.582970655024e-03     1.413253136119e-03     3.523559533342e-03
       1909.97144850      -1.19348975e-15    -1.575659600219e-03     1.426674024355e-03     3.518512564634e-03
       1911.21168970      -3.17801341e-15    -1.562882938179e-03     1.447225657276e-03     3.513783380659e-03
       1912.45193090      -9.29811783e-16    -1.544919092329e-03     1.474435721311e-03     3.509468574364e-03
       1913.69217210      -1.95676808e-15    -1.522030981276e-03     1.507724784330e-03     3.505669052990e-03
       1914.93241330       7.21644966e-16    -1.494510045402e-03     1.546543380080e-03     3.502417865227e-03
       1916.17265450      -1.12410081e-15    -1.462735357513e-03     1.590372411747e-03     3.499678504510e-03
       1917.41289570      -6.80011603e-16    -1.427225047219e-03     1.638693821156e-03     3.497454174003e-03
       1918.65313690       1.66533454e-16    -1.388615121647e-03     1.690873517885e-03     3.495864464571e-03
       1919.89337810      -1.51267887e-15    -1.347504112811e-03     1.746132028775e-03     3.495030659427e-03
       1921.13361930      -7.35522754e-16    -1.304510796823e-03     1.803580299139e-03     3.494989681208e-03
       1922.37386050      -9.02056208e-16    -1.260243673121e-03     1.862423002249e-03     3.495704814192e-03
       1923.61410171      -1.09634524e-15    -1.215381793862e-03     1.921856119247e-03     3.497161153588e-03
       1924.85434291       2.77555756e-16    -1.170618173778e-03     1.981045686700e-03     3.499349902052e-03
       1926.09458411      -1.29063427e-15    -1.126653079451e-03     2.039199522569e-03     3.502231341943e-03
       1927.33482531      -4.74620343e-15    -1.084241411907e-03     2.095526070263e-03     3.505808263954e-03
       1928.57506651      -1.13797860e-15    -1.044082215210e-03     2.149321092526e-03     3.510163331654e-03
       1929.81530771      -2.23432384e-15    -1.006760868469e-03     2.199980743827e-03     3.515355722176e-03
       1931.05554891      -6.38378239e-16    -9.728641562985e-04     2.246884187775e-03     3.521328465409e-03
       1932.29579011       1.33226763e-15    -9.429543535844e-04     2.289340108955e-03     3.527973592444e-03
       1933.53603131      -1.22124533e-15    -9.174879459777e-04     2.326708565303e-03     3.535152972730e-03
       1934.77627251      -1.47104551e-15    -8.968468310884e-04     2.358494570444e-03     3.542728865342e-03
       1936.01651371      -2.33146835e-15    -8.813653578978e-04     2.384242246968e-03     3.550612204879e-03
       1937.25675491      -3.23352456e-15    -8.711758787641e-04     2.403615985663e-03     3.558771659950e-03
       1938.49699611      -6.52256027e-16    -8.663768484514e-04     2.416327898655e-03     3.567117757217e-03
       1939.73723731       5.82867088e-16    -8.670261988439e-04     2.422318418190e-03     3.575532200487e-03
       1940.97747851      -1.12410081e-15    -8.730854025485e-04     2.421544505442e-03     3.583849821636e-03
       1942.21771971      -3.88578059e-15    -8.843082245322e-04     2.414043688582e-03     3.591944086088e-03
       1943.45796091       8.32667268e-17    -9.003752721628e-04     2.399897963762e-03     3.599717616108e-03
       1944.69820211      -1.36002321e-15    -9.210133558124e-04     2.379230481840e-03     3.607089320921e-03
       1945.93844331       2.20656826e-15    -9.458426068205e-04     2.352274094230e-03     3.613960488841e-03
       1947.17868451      -2.31759056e-15    -9.742632049079e-04     2.319405567885e-03     3.620175412449e-03
       1948.41892571      -2.49800181e-16    -1.005613205137e-03     2.281100175564e-03     3.625582988484e-03
       1949.65916691      -3.80251386e-15    -1.039394235306e-03     2.237858545410e-03     3.630137612771e-03
       1950.89940811       0.00000000e+00    -1.075021955329e-03     2.190345840893e-03     3.633810835773e-03
       1952.13964931       2.22044605e-15    -1.111876639798e-03     2.139216451890e-03     3.636537809418e-03
       1953.37989051       1.19348975e-15    -1.149347497214e-03     2.085121486401e-03     3.638268935136e-03
       1954.62013171       1.94289029e-16    -1.186874198060e-03     2.028725998447e-03     3.638937803979e-03
       1955.86037291      -8.32667268e-17    -1.223900206116e-03     1.970753176328e-03     3.638489003399e-03
       1957.10061411      -4.03843625e-15    -1.259890148915e-03     1.911987712840e-03     3.636941779790e-03
       1958.34085531      -2.95596880e-15    -1.294375586558e-03     1.853244219617e-03     3.634360995402e-03
       1959.58109651       1.49880108e-15    -1.326959079871e-03     1.795361195857e-03     3.630767546036e-03
       1960.82133771      -3.46944695e-16    -1.357319076246e-03     1.739162157696e-03     3.626177446369e-03
       1962.06157892      -1.48492330e-15    -1.385105021098e-03     1.685520585909e-03     3.620627376869e-03
