# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]
#            time            norm                    dmx                    dmy                    dmz
       3720.72360098      -1.09634524e-15    -1.257198695182e-03     1.880559265819e-03     3.660143384774e-03
       3721.96384218      -1.26287869e-15    -1.225545286276e-03     1.922173944526e-03     3.751851992319e-03
       3723.20408338       1.27675648e-15    -1.193750888757e-03     1.964203828949e-03     3.835952934082e-03
       3724.44432458      -2.17881269e-15    -1.162282323353e-03     2.006043580533e-03     3.913998278975e-03
       3725.68456578      -2.38697950e-15    -1.131631811917e-03     2.047108531182e-03     3.986379772135e-03
       3726.92480698       5.82867088e-16    -1.102308088026e-03     2.086907098055e-03     4.051362837347e-03
       3728.16504818       5.06539255e-15    -1.074741401609e-03     2.124910569294e-03     4.108571561280e-03
       3729.40528938      -1.16573418e-15    -1.049433991948e-03     2.160444441051e-03     4.157379188683e-03
       3730.64553058       1.41553436e-15    -1.026738521900e-03     2.192944060813e-03     4.196063879268e-03
       3731.88577178      -1.05471187e-15    -1.006880409407e-03     2.222013249552e-03     4.224430045411e-03
       3733.12601298       1.09634524e-15    -9.901859724919e-04     2.247204635320e-03     4.242382048755e-03
       3734.36625418      -7.49400542e-16    -9.769665016668e-04     2.268047961474e-03     4.249637856616e-03
       3735.60649538      -4.44089210e-16    -9.673777381805e-04     2.284245595435e-03     4.246450463597e-03
       3736.84673658      -2.94209102e-15    -9.614937379276e-04     2.295604934879e-03     4.233372247049e-03
       3738.08697778      -2.48412402e-15    -9.593207756429e-04     2.301972238604e-03     4.210996220826e-03
       3739.32721898      -9.71445147e-17    -9.607730157222e-04     2.303231613440e-03     4.179629590033e-03
       3740.56746018      -2.41473508e-15    -9.656315899744e-04     2.299361255420e-03     4.139998429828e-03
       3741.80770138      -1.69309011e-15    -9.737101701872e-04     2.290461161605e-03     4.092994325565e-03
       3743.04794258      -1.11022302e-15    -9.848465898266e-04     2.276728578216e-03     4.039657459912e-03
       3744.28818378       2.10942375e-15    -9.988343626937e-04     2.258414046866e-03     3.980976084860e-03
       3745.52842498       3.60822483e-16    -1.015408173926e-03     2.235777684348e-03     3.917794827382e-03
       3746.76866618      -2.47024623e-15    -1.034273522563e-03     2.209171685361e-03     3.851097569857e-03
       3748.00890738      -2.59514632e-15    -1.055089042127e-03     2.179023521078e-03     3.781854592018e-03
       3749.24914858      -1.59594560e-15    -1.077471152135e-03     2.145810899930e-03     3.711041694452e-03
       3750.48938978      -8.60422844e-16    -1.101002432102e-03     2.110053505146e-03     3.639600042021e-03
       3751.72963099      -3.74700271e-15    -1.125221589348e-03     2.072240562126e-03     3.568560314576e-03
       3752.96987219       1.11022302e-16    -1.149800879313e-03     2.032833088085e-03     3.498655959671e-03
       3754.21011339       2.77555756e-16    -1.174489884660e-03     1.992486147530e-03     3.430715612987e-03
       3755.45035459       2.04003481e-15    -1.199025339385e-03     1.951830014981e-03     3.365492865771e-03
       3756.69059579      -1.38777878e-16    -1.223074261994e-03     1.911403174451e-03     3.303756691628e-03
       3757.93083699       2.34534614e-15    -1.246361239482e-03     1.871737854392e-03     3.246159869939e-03
       3759.17107819      -9.15933995e-16    -1.268587664194e-03     1.833355965729e-03     3.193340778472e-03
       3760.41131939      -1.23512311e-15    -1.289390120500e-03     1.796737071880e-03     3.145877333116e-03
       3761.65156059       8.60422844e-16    -1.308497108376e-03     1.762425598531e-03     3.104208159774e-03
       3762.89180179      -2.67841305e-15    -1.325830034767e-03     1.730884667958e-03     3.068741809925e-03
       3764.13204299      -1.42941214e-15    -1.341328870426e-03     1.702377053287e-03     3.039872941113e-03
       3765.37228419       1.73472348e-15    -1.354817509185e-03     1.677255058265e-03     3.017814963771e-03
       3766.61252539       4.16333634e-16    -1.366151764907e-03     1.655943815561e-03     3.002566660273e-03
       3767.85276659      -6.80011603e-16    -1.375312532700e-03     1.638691966800e-03     2.994288422816e-03
       3769.09300779       4.44089210e-16    -1.382314793426e-03     1.625634210154e-03     2.993122272875e-03
       3770.33324899       1.72084569e-15    -1.387156662247e-03     1.616880106674e-03     2.998936930883e-03
       3771.57349019       4.16333634e-16    -1.389849105629e-03     1.612502668309e-03     3.011598321547e-03
       3772.81373139      -5.13478149e-16    -1.390458706263e-03     1.612479912309e-03     3.031072569715e-03
       3774.05397259      -3.41393580e-15    -1.389076707505e-03     1.616851622874e-03     3.057058322641e-03
       3775.29421379       2.09554596e-15    -1.385808235792e-03     1.625611938320e-03     3.088999911648e-03
       3776.53445499       8.32667268e-17    -1.380785411163e-03     1.638599489806e-03     3.126491555845e-03
       3777.77469619       1.27675648e-15    -1.374156813396e-03     1.655659213887e-03     3.169254481361e-03
       3779.01493739       2.22044605e-16    -1.366043765521e-03     1.676668895560e-03     3.216837093933e-03
       3780.25517859      -1.66533454e-16    -1.356513586306e-03     1.701375988544e-03     3.268548610495e-03
       3781.49541979       1.05471187e-15    -1.345590723981e-03     1.729342844261e-03     3.323474604319e-03
       3782.73566099      -1.24900090e-15    -1.333369773374e-03     1.760135831349e-03     3.380840768314e-03
       3783.97590219       2.73392420e-15    -1.320002274369e-03     1.793345081929e-03     3.440022003235e-03
       3785.21614339      -1.67921232e-15    -1.305596075396e-03     1.828574647242e-03     3.500355333779e-03
       3786.45638459      -4.30211422e-16    -1.290269122648e-03     1.865334389645e-03     3.561027876705e-03
       3787.69662579       8.46545056e-16    -1.274188417153e-03     1.902980753600e-03     3.621281186357e-03
       3788.93686700       9.29811783e-16    -1.257493161239e-03     1.940979895130e-03     3.680562199228e-03
       3790.17710820      -2.60902411e-15    -1.240220852202e-03     1.978850510561e-03     3.738026110334e-03
       3791.41734940       2.91433544e-15    -1.222400383356e-03     2.016133257583e-03     3.792832488100e-03
       3792.65759060      -1.23512311e-15    -1.204167973598e-03     2.052322542232e-03     3.844296820353e-03
       3793.89783180       6.24500451e-16    -1.185692071002e-03     2.086760335815e-03     3.891742000669e-03
       3795.13807300      -1.58206781e-15    -1.167129876803e-03     2.118816039792e-03     3.934538092421e-03
       3796.37831420      -2.72004641e-15    -1.148675827380e-03     2.148089300970e-03     3.972067358082e-03
       3797.61855540      -1.77635684e-15    -1.130535360789e-03     2.174215543675e-03     4.003724955562e-03
       3798.85879660      -2.27595720e-15    -1.112886419954e-03     2.196769021346e-03     4.029230140768e-03
       3800.09903780       2.33146835e-15    -1.095942847937e-03     2.215344087678e-03     4.048445040593e-03
       3801.33927900       2.09554596e-15    -1.079957168455e-03     2.229717715434e-03     4.061121840919e-03
       3802.57952020      -3.19189120e-16    -1.065223204106e-03     2.239703420644e-03     4.066964550748e-03
       3803.81976140      -8.74300632e-16    -1.051922823547e-03     2.245300742732e-03     4.065902116971e-03
       3805.06000260       2.34534614e-15    -1.040271355307e-03     2.246534273419e-03     4.057949391486e-03
       3806.30024380       1.81799020e-15    -1.030540838622e-03     2.243361192440e-03     4.043230847927e-03
       3807.54048500       3.49720253e-15    -1.022949357212e-03     2.235821113399e-03     4.022019595992e-03
       3808.78072620      -2.63677968e-16    -1.017640487003e-03     2.224064399255e-03     3.994609879428e-03
       3810.02096740      -1.52655666e-16    -1.014786937676e-03     2.208333470258e-03     3.961507734129e-03
       3811.26120860       2.27595720e-15    -1.014561870166e-03     2.188911763286e-03     3.923196786013e-03
       3812.50144980       2.22044605e-16    -1.017078934813e-03     2.166237939067e-03     3.880127489853e-03
       3813.74169100       1.38777878e-16    -1.022367175378e-03     2.140734075518e-03     3.832858837982e-03
       3814.98193220      -2.27595720e-15    -1.030444776784e-03     2.112767184440e-03     3.782129829138e-03
       3816.22217340      -4.31599201e-15    -1.041318996766e-03     2.082775225886e-03     3.728673393075e-03
       3817.46241460       4.16333634e-15    -1.054887291553e-03     2.051262444080e-03     3.673234762238e-03
       3818.70265580      -1.05471187e-15    -1.070957545219e-03     2.018675683069e-03     3.616656149635e-03
       3819.94289700      -3.58046925e-15    -1.089317107581e-03     1.985377090072e-03     3.559679947033e-03
       3821.18313820      -1.31838984e-15    -1.109695663033e-03     1.951760848522e-03     3.502998155405e-03
       3822.42337940       2.16493490e-15    -1.131737809424e-03     1.918342495851e-03     3.447459611141e-03
       3823.66362060       9.29811783e-16    -1.155119077851e-03     1.885571883831e-03     3.393726102431e-03
       3824.90386180       3.74700271e-16    -1.179494273233e-03     1.853769478275e-03     3.342400618793e-03
       3826.14410300       4.57966998e-16    -1.204480758268e-03     1.823262655417e-03     3.294088612249e-03
       3827.38434421      -1.94289029e-15    -1.229698535793e-03     1.794484885719e-03     3.249490789171e-03
       3828.62458541      -1.33226763e-15    -1.254844619497e-03     1.767801968732e-03     3.209287762736e-03
       3829.86482661      -2.24820162e-15    -1.279543505240e-03     1.743525564064e-03     3.174100972830e-03
       3831.10506781      -1.11022302e-15    -1.303288268184e-03     1.721994671672e-03     3.144424636967e-03
       3832.34530901       1.94289029e-16    -1.325670632983e-03     1.703449287349e-03     3.120501798482e-03
       3833.58555021      -8.32667268e-16    -1.346379114628e-03     1.688002192099e-03     3.102591358097e-03
       3834.82579141      -1.52655666e-16    -1.365031546865e-03     1.675776263340e-03     3.091110895094e-03
       3836.06603261       2.77555756e-15    -1.381343320928e-03     1.666961389338e-03     3.086298034667e-03
       3837.30627381      -4.37150316e-15    -1.395134063416e-03     1.661815683671e-03     3.088118757138e-03
       3838.54651501      -3.03923553e-15    -1.406323282787e-03     1.660471684711e-03     3.096467292564e-03
       3839.78675621       2.73392420e-15    -1.414699316745e-03     1.663017185338e-03     3.111218832559e-03
       3841.02699741       2.48412402e-15    -1.420051116718e-03     1.669462714013e-03     3.132178770137e-03
       3842.26723861       1.16573418e-15    -1.422193718575e-03     1.679727539911e-03     3.159113344669e-03
       3843.50747981      -3.70536934e-15    -1.421046126002e-03     1.693741529007e-03     3.191761338184e-03
       3844.74772101      -3.17801341e-15    -1.416647316621e-03     1.711423299114e-03     3.229646975011e-03
       3845.98796221      -1.23512311e-15    -1.409028795067e-03     1.732634489545e-03     3.272257043491e-03
       3847.22820341       3.09474668e-15    -1.398202593363e-03     1.757169648780e-03     3.319051763302e-03
       3848.46844461      -5.46784840e-15    -1.384265501347e-03     1.784750246077e-03     3.369435224480e-03
       3849.70868581       9.99200722e-16    -1.367389663679e-03     1.815058657745e-03     3.422665173879e-03
       3850.94892701      -2.49800181e-16    -1.347777428553e-03     1.847738301768e-03     3.477830815949e-03
       3852.18916821       1.05471187e-15    -1.325636311466e-03     1.882370719772e-03     3.534213317301e-03
       3853.42940941      -4.57966998e-16    -1.301174673851e-03     1.918445084662e-03     3.591023964166e-03
       3854.66965061       1.94289029e-15    -1.274677022786e-03     1.955454062464e-03     3.647359534721e-03
       3855.90989181      -1.67921232e-15    -1.246604154224e-03     1.992845532164e-03     3.702261502685e-03
       3857.15013301      -6.93889390e-17    -1.217493764445e-03     2.030014444649e-03     3.754895352964e-03
       3858.39037421      -2.04003481e-15    -1.187876638057e-03     2.066359066272e-03     3.804500752962e-03
       3859.63061541       1.11022302e-16    -1.158231487964e-03     2.101336775464e-03     3.850395543917e-03
       3860.87085661       2.63677968e-16    -1.129027545206e-03     2.134465125742e-03     3.891933505116e-03
       3862.11109781       2.65065747e-15    -1.100748713401e-03     2.165274179055e-03     3.928433543361e-03
       3863.35133901       1.97064587e-15    -1.073875839436e-03     2.193258553919e-03     3.959187615914e-03
       3864.59158021      -1.36002321e-15    -1.048877259258e-03     2.217897257945e-03     3.983596059102e-03
       3865.83182142      -1.38777878e-17    -1.026245577741e-03     2.238736896360e-03     4.001208817390e-03
       3867.07206262      -1.42941214e-15    -1.006471878182e-03     2.255388606597e-03     4.011723214625e-03
       3868.31230382       8.60422844e-16    -9.900081671028e-04     2.267510503277e-03     4.014955972870e-03
       3869.55254502      -1.70696790e-15    -9.772157138430e-04     2.274874952882e-03     4.010855097530e-03
       3870.79278622       2.63677968e-16    -9.683671886944e-04     2.277367567687e-03     3.999585079335e-03
       3872.03302742      -3.46944695e-16    -9.636260589541e-04     2.274931340844e-03     3.981360331513e-03
       3873.27326862      -4.85722573e-16    -9.632172810141e-04     2.267537443707e-03     3.956533138626e-03
       3874.51350982      -2.41473508e-15    -9.671976934529e-04     2.255211971633e-03     3.925526432234e-03
       3875.75375102      -1.22124533e-15    -9.754083053530e-04     2.238048105760e-03     3.888828340058e-03
       3876.99399222      -1.99840144e-15    -9.876872854253e-04     2.216332200352e-03     3.846960808063e-03
       3878.23423342       1.30451205e-15    -1.003828110717e-03     2.190539682869e-03     3.800608158771e-03
       3879.47447462      -1.02695630e-15    -1.023572092063e-03     2.161057672007e-03     3.750658052527e-03
       3880.71471582       1.05471187e-15    -1.046629277281e-03     2.128189261244e-03     3.698054669380e-03
       3881.95495702       2.08166817e-15    -1.072611030882e-03     2.092364360496e-03     3.643742138817e-03
       3883.19519822       2.22044605e-15    -1.100974665649e-03     2.054118794194e-03     3.588563205328e-03
       3884.43543942       9.71445147e-16    -1.131128802351e-03     2.014017594727e-03     3.533324250775e-03
       3885.67568062      -1.05471187e-15    -1.162491360035e-03     1.972680361567e-03     3.478989818960e-03
       3886.91592182       9.29811783e-16    -1.194521672861e-03     1.930716359525e-03     3.426513221820e-03
       3888.15616302       1.19348975e-15    -1.226776694584e-03     1.888700426083e-03     3.376633235601e-03
       3889.39640422      -1.79023463e-15    -1.258792430650e-03     1.847250339683e-03     3.330019737594e-03
       3890.63664542      -2.58126853e-15    -1.289943841959e-03     1.806996188806e-03     3.287349694639e-03
       3891.87688662      -3.19189120e-16    -1.319589957487e-03     1.768524175476e-03     3.249249130338e-03
       3893.11712782      -3.46944695e-16    -1.347260309381e-03     1.732354424846e-03     3.216244868092e-03
       3894.35736902       6.66133815e-16    -1.372581829272e-03     1.699029590881e-03     3.188775256959e-03
       3895.59761022       1.56819002e-15    -1.395215772225e-03     1.669118112101e-03     3.167242077322e-03
       3896.83785142      -4.39925874e-15    -1.414868025867e-03     1.643109657079e-03     3.151998866379e-03
       3898.07809262      -8.32667268e-16    -1.431291219497e-03     1.621383865300e-03     3.143167695539e-03
