# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000    -2.2813918682e-03    -0.0000000000e+00    -0.0000000000e+00
    0.100000    -4.9732133787e-03    -0.0000000000e+00    -0.0000000000e+00
    0.150000    -5.1653467362e-03    -0.0000000000e+00    -0.0000000000e+00
    0.200000    -4.7223706459e-03    -0.0000000000e+00    -0.0000000000e+00
    0.250000    -4.4813617611e-03    -0.0000000000e+00    -0.0000000000e+00
    0.300000    -4.4812292346e-03    -0.0000000000e+00    -0.0000000000e+00
    0.350000    -4.4271853599e-03    -0.0000000000e+00    -0.0000000000e+00
    0.400000    -4.4272249134e-03    -0.0000000000e+00    -0.0000000000e+00
    0.450000    -4.3220899850e-03    -0.0000000000e+00    -0.0000000000e+00
    0.500000    -4.3420953533e-03    -0.0000000000e+00    -0.0000000000e+00
    0.550000    -4.3568013448e-03    -0.0000000000e+00    -0.0000000000e+00
    0.600000    -4.4214008326e-03    -0.0000000000e+00    -0.0000000000e+00
    0.650000    -4.5544210448e-03    -0.0000000000e+00    -0.0000000000e+00
    0.700000    -4.6059673300e-03    -0.0000000000e+00    -0.0000000000e+00
    0.750000    -4.8047540048e-03    -0.0000000000e+00    -0.0000000000e+00
    0.800000    -4.7259996708e-03    -0.0000000000e+00    -0.0000000000e+00
    0.850000    -4.8542303079e-03    -0.0000000000e+00    -0.0000000000e+00
    0.900000    -4.8026733562e-03    -0.0000000000e+00    -0.0000000000e+00
    0.950000    -5.1599151403e-03    -0.0000000000e+00    -0.0000000000e+00
    1.000000    -5.2390767958e-03    -0.0000000000e+00    -0.0000000000e+00
    1.050000    -4.3974932133e-03    -0.0000000000e+00    -0.0000000000e+00
    1.100000     6.9261170177e-03    -0.0000000000e+00    -0.0000000000e+00
    1.150000     5.5482712505e-02    -0.0000000000e+00    -0.0000000000e+00
    1.200000     1.3927333730e-01     0.0000000000e+00    -0.0000000000e+00
    1.250000     1.6553622344e-01     0.0000000000e+00    -0.0000000000e+00
    1.300000     9.5846466379e-02     0.0000000000e+00    -0.0000000000e+00
    1.350000     2.4549140107e-02     0.0000000000e+00    -0.0000000000e+00
    1.400000    -3.5276274163e-03    -0.0000000000e+00    -0.0000000000e+00
    1.450000    -8.6752480503e-03    -0.0000000000e+00    -0.0000000000e+00
    1.500000     2.1022109066e-03    -0.0000000000e+00    -0.0000000000e+00
    1.550000     5.0297030732e-02     0.0000000000e+00    -0.0000000000e+00
    1.600000     1.3545825635e-01     0.0000000000e+00    -0.0000000000e+00
    1.650000     3.1688369478e-01     0.0000000000e+00    -0.0000000000e+00
    1.700000     7.5939603434e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     1.2173300506e+00     0.0000000000e+00     0.0000000000e+00
    1.800000     1.1268530133e+00    -0.0000000000e+00     0.0000000000e+00
    1.850000     5.9703073188e-01    -0.0000000000e+00     0.0000000000e+00
    1.900000     1.7743014471e-01     0.0000000000e+00    -0.0000000000e+00
    1.950000     2.1989671947e-02     0.0000000000e+00    -0.0000000000e+00
    2.000000    -6.8562557741e-03    -0.0000000000e+00    -0.0000000000e+00
    2.050000    -5.9661376334e-03    -0.0000000000e+00    -0.0000000000e+00
    2.100000    -1.8246169214e-03     0.0000000000e+00    -0.0000000000e+00
    2.150000    -3.6228386581e-03     0.0000000000e+00     0.0000000000e+00
    2.200000    -4.9842917735e-03     0.0000000000e+00     0.0000000000e+00
    2.250000     4.9155264479e-03     0.0000000000e+00    -0.0000000000e+00
    2.300000     8.2288512471e-02     0.0000000000e+00    -0.0000000000e+00
    2.350000     3.8822043404e-01     0.0000000000e+00    -0.0000000000e+00
    2.400000     8.7227649685e-01     0.0000000000e+00    -0.0000000000e+00
    2.450000     1.0155968534e+00     0.0000000000e+00    -0.0000000000e+00
    2.500000     1.0987368424e+00     0.0000000000e+00     0.0000000000e+00
    2.550000     3.9795155832e+00     0.0000000000e+00     0.0000000000e+00
    2.600000     1.3459364469e+01     0.0000000000e+00     0.0000000000e+00
    2.650000     2.4710470581e+01     0.0000000000e+00     0.0000000000e+00
    2.700000     2.6289682618e+01    -0.0000000000e+00     0.0000000000e+00
    2.750000     1.9641341041e+01    -0.0000000000e+00     0.0000000000e+00
    2.800000     1.1500825235e+01     0.0000000000e+00     0.0000000000e+00
    2.850000     4.7734845104e+00     0.0000000000e+00     0.0000000000e+00
    2.900000     1.8331176665e+00     0.0000000000e+00     0.0000000000e+00
    2.950000     1.4401157348e+00     0.0000000000e+00     0.0000000000e+00
    3.000000     1.1068667693e+00     0.0000000000e+00     0.0000000000e+00
