# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00     2.8751105347e-02     0.0000000000e+00
    0.100000     0.0000000000e+00     6.2648661186e-02     0.0000000000e+00
    0.150000     0.0000000000e+00     6.5298469521e-02     0.0000000000e+00
    0.200000     0.0000000000e+00     5.9285880204e-02     0.0000000000e+00
    0.250000     0.0000000000e+00     5.6251009761e-02     0.0000000000e+00
    0.300000     0.0000000000e+00     5.5039742366e-02     0.0000000000e+00
    0.350000     0.0000000000e+00     5.4651745154e-02     0.0000000000e+00
    0.400000     0.0000000000e+00     5.4538212487e-02     0.0000000000e+00
    0.450000     0.0000000000e+00     5.4721731604e-02     0.0000000000e+00
    0.500000     0.0000000000e+00     5.4994466019e-02     0.0000000000e+00
    0.550000     0.0000000000e+00     5.5394487210e-02     0.0000000000e+00
    0.600000     0.0000000000e+00     5.5942413844e-02     0.0000000000e+00
    0.650000     0.0000000000e+00     5.6512993976e-02     0.0000000000e+00
    0.700000     0.0000000000e+00     5.7308230009e-02     0.0000000000e+00
    0.750000     0.0000000000e+00     5.8024221393e-02     0.0000000000e+00
    0.800000     0.0000000000e+00     5.9087074243e-02     0.0000000000e+00
    0.850000     0.0000000000e+00     6.0053775980e-02     0.0000000000e+00
    0.900000     0.0000000000e+00     6.1576140457e-02     0.0000000000e+00
    0.950000     0.0000000000e+00     6.3338099024e-02     0.0000000000e+00
    1.000000     0.0000000000e+00     6.6137750342e-02     0.0000000000e+00
    1.050000     0.0000000000e+00     7.1885480064e-02     0.0000000000e+00
    1.100000     0.0000000000e+00     9.1605119236e-02     0.0000000000e+00
    1.150000     0.0000000000e+00     1.4187688358e-01     0.0000000000e+00
    1.200000     0.0000000000e+00     1.9341353592e-01     0.0000000000e+00
    1.250000     0.0000000000e+00     1.7488265733e-01     0.0000000000e+00
    1.300000     0.0000000000e+00     1.0817698105e-01     0.0000000000e+00
    1.350000     0.0000000000e+00     7.0383505336e-02     0.0000000000e+00
    1.400000     0.0000000000e+00     6.6095337691e-02     0.0000000000e+00
    1.450000     0.0000000000e+00     7.7330428830e-02     0.0000000000e+00
    1.500000     0.0000000000e+00     1.1043022156e-01     0.0000000000e+00
    1.550000     0.0000000000e+00     1.7093278509e-01     0.0000000000e+00
    1.600000     0.0000000000e+00     2.1830264322e-01     0.0000000000e+00
    1.650000     0.0000000000e+00     3.3709991946e-01     0.0000000000e+00
    1.700000     0.0000000000e+00     7.2893596500e-01     0.0000000000e+00
    1.750000     0.0000000000e+00     1.1340651662e+00     0.0000000000e+00
    1.800000     0.0000000000e+00     1.0644875073e+00     0.0000000000e+00
    1.850000     0.0000000000e+00     6.5291595497e-01     0.0000000000e+00
    1.900000     0.0000000000e+00     3.1617395062e-01     0.0000000000e+00
    1.950000     0.0000000000e+00     1.8071634512e-01     0.0000000000e+00
    2.000000     0.0000000000e+00     1.7564474848e-01     0.0000000000e+00
    2.050000     0.0000000000e+00     2.3560956806e-01     0.0000000000e+00
    2.100000     0.0000000000e+00     2.9122890655e-01     0.0000000000e+00
    2.150000     0.0000000000e+00     2.8298673148e-01     0.0000000000e+00
    2.200000     0.0000000000e+00     2.5880550841e-01     0.0000000000e+00
    2.250000     0.0000000000e+00     2.8414495683e-01     0.0000000000e+00
    2.300000     0.0000000000e+00     4.1409154967e-01     0.0000000000e+00
    2.350000     0.0000000000e+00     7.4046541440e-01     0.0000000000e+00
    2.400000     0.0000000000e+00     1.1690402041e+00     0.0000000000e+00
    2.450000     0.0000000000e+00     1.4828111995e+00     0.0000000000e+00
    2.500000     0.0000000000e+00     2.0409496194e+00     0.0000000000e+00
    2.550000     0.0000000000e+00     5.0312001066e+00     0.0000000000e+00
    2.600000     0.0000000000e+00     1.4104276548e+01     0.0000000000e+00
    2.650000     0.0000000000e+00     2.5141907666e+01    -0.0000000000e+00
    2.700000     0.0000000000e+00     2.6896099291e+01    -0.0000000000e+00
