# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     0.0000000000e+00     0.0000000000e+00    -1.3328539164e-01
    0.100000     0.0000000000e+00     0.0000000000e+00    -2.9038390389e-01
    0.150000     0.0000000000e+00     0.0000000000e+00    -3.0246136949e-01
    0.200000     0.0000000000e+00     0.0000000000e+00    -2.7447892400e-01
    0.250000     0.0000000000e+00     0.0000000000e+00    -2.6011164470e-01
    0.300000     0.0000000000e+00     0.0000000000e+00    -2.5448866328e-01
    0.350000     0.0000000000e+00     0.0000000000e+00    -2.5231998821e-01
    0.400000     0.0000000000e+00     0.0000000000e+00    -2.5162428539e-01
    0.450000     0.0000000000e+00     0.0000000000e+00    -2.5183193610e-01
    0.500000     0.0000000000e+00     0.0000000000e+00    -2.5265999023e-01
    0.550000     0.0000000000e+00     0.0000000000e+00    -2.5374163711e-01
    0.600000     0.0000000000e+00     0.0000000000e+00    -2.5532052234e-01
    0.650000     0.0000000000e+00     0.0000000000e+00    -2.5699547442e-01
    0.700000     0.0000000000e+00     0.0000000000e+00    -2.5926868866e-01
    0.750000     0.0000000000e+00     0.0000000000e+00    -2.6156205349e-01
    0.800000     0.0000000000e+00     0.0000000000e+00    -2.6434797621e-01
    0.850000     0.0000000000e+00     0.0000000000e+00    -2.6712545520e-01
    0.900000     0.0000000000e+00     0.0000000000e+00    -2.7022095130e-01
    0.950000     0.0000000000e+00     0.0000000000e+00    -2.7323544376e-01
    1.000000     0.0000000000e+00     0.0000000000e+00    -2.7610451298e-01
    1.050000     0.0000000000e+00     0.0000000000e+00    -2.7853332230e-01
    1.100000     0.0000000000e+00     0.0000000000e+00    -2.7893165997e-01
    1.150000     0.0000000000e+00     0.0000000000e+00    -2.7854645567e-01
    1.200000     0.0000000000e+00     0.0000000000e+00    -2.8676218427e-01
    1.250000     0.0000000000e+00     0.0000000000e+00    -3.0922544529e-01
    1.300000     0.0000000000e+00     0.0000000000e+00    -3.2811165165e-01
    1.350000     0.0000000000e+00     0.0000000000e+00    -3.3563971600e-01
    1.400000     0.0000000000e+00     0.0000000000e+00    -3.3651088826e-01
    1.450000     0.0000000000e+00     0.0000000000e+00    -3.2419069151e-01
    1.500000     0.0000000000e+00     0.0000000000e+00    -2.8820898894e-01
    1.550000     0.0000000000e+00     0.0000000000e+00    -2.6795532597e-01
    1.600000     0.0000000000e+00     0.0000000000e+00    -3.1971952750e-01
    1.650000     0.0000000000e+00     0.0000000000e+00    -4.1513293605e-01
    1.700000     0.0000000000e+00     0.0000000000e+00    -5.0385538478e-01
    1.750000     0.0000000000e+00     0.0000000000e+00    -5.3850735749e-01
    1.800000     0.0000000000e+00     0.0000000000e+00    -4.8009651776e-01
    1.850000     0.0000000000e+00     0.0000000000e+00    -4.0537283323e-01
    1.900000     0.0000000000e+00     0.0000000000e+00    -3.6678433784e-01
    1.950000     0.0000000000e+00     0.0000000000e+00    -1.2323892812e-01
    2.000000     0.0000000000e+00     0.0000000000e+00     9.4664138271e-01
    2.050000     0.0000000000e+00     0.0000000000e+00     2.8575832734e+00
    2.100000     0.0000000000e+00     0.0000000000e+00     3.4355078947e+00
    2.150000     0.0000000000e+00     0.0000000000e+00     1.5416317725e+00
    2.200000     0.0000000000e+00     0.0000000000e+00    -4.7312534102e-01
    2.250000     0.0000000000e+00     0.0000000000e+00    -1.2924501373e+00
    2.300000     0.0000000000e+00     0.0000000000e+00    -1.5659504694e+00
    2.350000     0.0000000000e+00     0.0000000000e+00    -1.5802837074e+00
    2.400000     0.0000000000e+00     0.0000000000e+00     3.4026988745e-01
    2.450000     0.0000000000e+00     0.0000000000e+00     8.0450030668e+00
    2.500000     0.0000000000e+00     0.0000000000e+00     1.8533928650e+01
    2.550000     0.0000000000e+00     0.0000000000e+00     1.9508295239e+01
    2.600000     0.0000000000e+00     0.0000000000e+00     1.3774658317e+01
    2.650000     0.0000000000e+00     0.0000000000e+00     1.3910590265e+01
    2.700000     0.0000000000e+00     0.0000000000e+00     1.4992968311e+01
    2.750000    -0.0000000000e+00    -0.0000000000e+00     1.0124759164e+01
    2.800000    -0.0000000000e+00    -0.0000000000e+00     4.5835749941e+00
    2.850000     0.0000000000e+00    -0.0000000000e+00     2.1349880587e+00
    2.900000    -0.0000000000e+00    -0.0000000000e+00     1.4308006275e+00
    2.950000    -0.0000000000e+00    -0.0000000000e+00     1.0546023014e+00
    3.000000    -0.0000000000e+00    -0.0000000000e+00     7.9704744611e-01
    3.050000    -0.0000000000e+00     0.0000000000e+00     7.3358663230e-01
    3.100000    -0.0000000000e+00    -0.0000000000e+00     7.2154809792e-01
    3.150000    -0.0000000000e+00    -0.0000000000e+00     6.7139970231e-01
    3.200000    -0.0000000000e+00     0.0000000000e+00     6.0619011646e-01
    3.250000    -0.0000000000e+00    -0.0000000000e+00     5.1217512119e-01
    3.300000     0.0000000000e+00    -0.0000000000e+00     4.1176096994e-01
    3.350000     0.0000000000e+00     0.0000000000e+00     3.1226771322e-01
    3.400000     0.0000000000e+00     0.0000000000e+00     2.3847184207e-01
    3.450000     0.0000000000e+00     0.0000000000e+00     3.2080318755e-01
    3.500000     0.0000000000e+00     0.0000000000e+00     7.3149088098e-01
    3.550000     0.0000000000e+00    -0.0000000000e+00     1.4226640566e+00
    3.600000     0.0000000000e+00    -0.0000000000e+00     1.7455608852e+00
    3.650000     0.0000000000e+00    -0.0000000000e+00     1.4347402097e+00
    3.700000     0.0000000000e+00    -0.0000000000e+00     1.2513383145e+00
    3.750000     0.0000000000e+00     0.0000000000e+00     1.7754377011e+00
    3.800000     0.0000000000e+00     0.0000000000e+00     2.4274487824e+00
    3.850000     0.0000000000e+00     0.0000000000e+00     1.9434425232e+00
    3.900000     0.0000000000e+00     0.0000000000e+00     6.6599147470e-01
    3.950000     0.0000000000e+00     0.0000000000e+00     2.0232689097e-02
