# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_hflux[1]*c_hflux[1] c_hflux[2]*c_hflux[2] c_hflux[3]*c_hflux[3]
100000 400
1 0 20001 13.3949 12.9834 12.908
2 5 20000 11.8411 11.4383 11.3662
3 10 19999 8.88842 8.52232 8.42189
4 15 19998 6.50191 6.17908 6.02345
5 20 19997 4.92093 4.63592 4.46879
6 25 19996 3.82086 3.58968 3.48086
7 30 19995 3.02136 2.8164 2.82668
8 35 19994 2.45664 2.22339 2.37122
9 40 19993 2.05101 1.79277 2.04677
10 45 19992 1.75271 1.49979 1.80393
11 50 19991 1.54038 1.27547 1.56448
12 55 19990 1.37602 1.05572 1.28936
13 60 19989 1.21605 0.839891 1.0428
14 65 19988 1.03241 0.651879 0.87199
15 70 19987 0.843509 0.494661 0.753551
16 75 19986 0.685653 0.324975 0.646276
17 80 19985 0.557674 0.133873 0.542479
18 85 19984 0.433643 -0.0232343 0.471496
19 90 19983 0.306742 -0.139894 0.436777
20 95 19982 0.196203 -0.249768 0.400513
21 100 19981 0.140504 -0.329108 0.363517
22 105 19980 0.147888 -0.335821 0.34444
23 110 19979 0.188418 -0.280254 0.332656
24 115 19978 0.220934 -0.206407 0.316435
25 120 19977 0.24664 -0.156181 0.312021
26 125 19976 0.273598 -0.135292 0.331085
27 130 19975 0.281002 -0.130858 0.349993
28 135 19974 0.255489 -0.152878 0.335683
29 140 19973 0.216122 -0.2059 0.286077
30 145 19972 0.178541 -0.225491 0.237973
31 150 19971 0.137777 -0.175847 0.223509
32 155 19970 0.0997854 -0.0995983 0.257925
33 160 19969 0.107524 -0.0584376 0.299989
34 165 19968 0.169615 -0.0613378 0.312854
35 170 19967 0.235535 -0.060017 0.311275
36 175 19966 0.266961 -0.0146144 0.294559
37 180 19965 0.282045 0.0656613 0.268497
38 185 19964 0.289498 0.132749 0.25295
39 190 19963 0.275738 0.1641 0.227086
40 195 19962 0.24137 0.19806 0.161766
41 200 19961 0.196577 0.246911 0.0906092
42 205 19960 0.136347 0.271248 0.0576966
43 210 19959 0.0599635 0.234336 0.0533084
44 215 19958 0.00141365 0.153453 0.0339907
45 220 19957 -0.0153117 0.0966711 -0.0103364
46 225 19956 -0.0126158 0.100656 -0.053794
47 230 19955 -0.00793411 0.124076 -0.0661762
48 235 19954 0.014273 0.121412 -0.0318005
49 240 19953 0.0730353 0.0894067 0.0377672
50 245 19952 0.130373 0.0441443 0.110717
51 250 19951 0.135575 0.0120627 0.153035
52 255 19950 0.110444 -0.0125844 0.156906
53 260 19949 0.0798113 -0.0649121 0.137583
54 265 19948 0.057383 -0.149812 0.117578
55 270 19947 0.0688231 -0.23877 0.0870426
56 275 19946 0.0870602 -0.312163 0.0601151
57 280 19945 0.0835489 -0.354176 0.069247
58 285 19944 0.0682382 -0.330752 0.0882081
59 290 19943 0.0571765 -0.252588 0.0712293
60 295 19942 0.0490915 -0.183897 0.0354315
61 300 19941 0.0461581 -0.174863 -0.00248215
62 305 19940 0.0729698 -0.230848 -0.0562469
63 310 19939 0.140014 -0.32396 -0.0967239
64 315 19938 0.223802 -0.416865 -0.0697063
65 320 19937 0.308381 -0.484174 0.0326664
66 325 19936 0.382381 -0.504387 0.164443
67 330 19935 0.400931 -0.485768 0.278218
68 335 19934 0.334542 -0.45349 0.366969
