# Time-correlated data for fix PP
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_str[4]*c_str[4] c_str[5]*c_str[5] c_str[6]*c_str[6]
100000 400
1 0 20001 2931.49 2855.36 2982.84
2 5 20000 2603.09 2536.71 2660.73
3 10 19999 1938.8 1890.69 2008.8
4 15 19998 1354.49 1320.86 1434.31
5 20 19997 951.578 930.38 1037.96
6 25 19996 681.596 675.372 774.543
7 30 19995 492.631 502.825 589.704
8 35 19994 359.215 380.905 449.851
9 40 19993 271.088 296.132 341.94
10 45 19992 215.015 241.632 265.118
11 50 19991 173.764 210.144 218.201
12 55 19990 138.287 192.967 194.396
13 60 19989 107.006 180.154 184.537
14 65 19988 81.4128 164.242 179.053
15 70 19987 64.0449 144.542 167.913
16 75 19986 57.5916 123.882 149.706
17 80 19985 60.0745 105.721 132.672
18 85 19984 64.8386 95.1665 120.014
19 90 19983 68.0176 94.1075 107.669
20 95 19982 67.4114 97.0492 92.8926
21 100 19981 59.3613 97.1525 78.7439
22 105 19980 42.3629 91.061 71.4245
23 110 19979 20.4339 76.1795 70.952
24 115 19978 3.77323 53.0104 68.8555
25 120 19977 -1.23155 30.3276 59.7014
26 125 19976 -2.6337 16.835 47.9734
27 130 19975 -10.7335 12.0236 40.5451
28 135 19974 -25.3578 10.126 43.6968
29 140 19973 -39.1382 8.18493 57.7746
30 145 19972 -42.6166 6.24525 71.5216
31 150 19971 -35.0886 4.10473 74.9238
32 155 19970 -24.3837 3.14637 66.8374
33 160 19969 -14.6971 4.72233 51.9635
34 165 19968 -4.78242 7.66753 43.7232
35 170 19967 5.48948 9.41406 52.7826
36 175 19966 14.9265 6.85689 73.4096
37 180 19965 20.6884 -1.77822 90.3778
38 185 19964 16.9043 -13.8761 94.9161
39 190 19963 0.196381 -23.6176 86.0464
40 195 19962 -22.8185 -28.3764 69.2629
41 200 19961 -40.2706 -27.3938 55.3229
42 205 19960 -44.9639 -21.3931 55.6287
43 210 19959 -38.7244 -15.0408 69.2363
44 215 19958 -26.482 -11.944 85.0892
45 220 19957 -9.89596 -7.78192 95.6251
46 225 19956 9.10025 3.20478 98.5962
47 230 19955 26.5598 18.6645 94.3628
48 235 19954 37.6436 27.6265 85.3757
49 240 19953 39.5949 26.6395 71.7697
50 245 19952 34.3331 22.5776 55.8025
51 250 19951 24.4878 18.1868 39.1406
52 255 19950 11.2839 11.2319 22.5716
53 260 19949 -4.01088 4.9894 11.3378
54 265 19948 -20.2005 4.21605 3.39104
55 270 19947 -34.9442 8.41179 -9.15143
56 275 19946 -49.6588 14.8854 -22.05
57 280 19945 -65.2922 22.1769 -26.7022
58 285 19944 -77.6 30.7548 -21.3739
59 290 19943 -79.4769 40.6228 -8.32377
60 295 19942 -69.0742 49.1264 8.32468
61 300 19941 -54.1578 52.2058 24.5396
62 305 19940 -42.8301 46.7591 35.4115
63 310 19939 -36.4356 35.6175 34.7197
64 315 19938 -34.9533 25.8995 21.9458
65 320 19937 -38.4311 21.6293 4.96325
66 325 19936 -42.383 21.2261 -11.2667
67 330 19935 -42.7675 22.134 -27.1342
68 335 19934 -40.114 25.3263 -42.5847
69 340 19933 -35.2822 30.4319 -55.5431
70 345 19932 -26.2956 36.5818 -63.9178
71 350 19931 -12.3047 46.5929 -66.1967
72 355 19930 2.61821 57.015 -60.4725
73 360 19929 12.5331 59.7705 -48.5607
74 365 19928 15.1922 56.2508 -36.2254
75 370 19927 13.1434 57.8618 -25.4173
76 375 19926 9.25278 68.205 -18.1409
77 380 19925 1.78658 75.3577 -16.2501
78 385 19924 -10.4868 71.3625 -15.3143
79 390 19923 -22.8929 61.7233 -12.7485
80 395 19922 -28.5312 50.5084 -10.0527
81 400 19921 -24.2246 36.5055 -7.42709
82 405 19920 -13.8534 19.8582 -5.64054
83 410 19919 -3.40298 1.51406 -7.23648
84 415 19918 3.95127 -13.9774 -11.4251
85 420 19917 9.18799 -22.8049 -15.3654
86 425 19916 16.2724 -26.4139 -17.1378
87 430 19915 26.985 -26.0522 -13.5897
88 435 19914 36.6002 -20.2284 -5.1535
89 440 19913 40.1799 -6.27739 5.48797
90 445 19912 41.8563 10.7608 15.2253
91 450 19911 47.8946 21.6827 18.2669
92 455 19910 58.5657 25.1022 14.6611
93 460 19909 69.4209 22.8657 13.7906
94 465 19908 77.2229 14.2355 22.9657
95 470 19907 79.2518 -0.00392361 35.2394
96 475 19906 74.4398 -17.7 37.678
97 480 19905 65.608 -34.0591 31.6878
98 485 19904 60.0837 -47.477 25.8173
99 490 19903 59.0058 -60.4436 15.9663
100 495 19902 55.5142 -69.2113 -4.27809
101 500 19901 46.205 -66.9657 -30.4499
102 505 19900 34.6419 -53.1586 -49.7379
103 510 19899 26.9168 -31.8287 -55.427
104 515 19898 25.3942 -11.9913 -50.1282
105 520 19897 27.4352 -1.81793 -39.0614
106 525 19896 30.2382 2.32704 -27.2875
107 530 19895 33.2999 7.34342 -19.4696
108 535 19894 33.2139 13.3735 -15.1596
109 540 19893 27.6408 14.1412 -6.28356
110 545 19892 22.679 3.58456 8.509
111 550 19891 23.1687 -14.6425 23.1233
112 555 19890 25.2885 -31.1616 35.2568
113 560 19889 25.2106 -42.1847 42.4087
114 565 19888 23.6516 -51.8052 39.1922
115 570 19887 23.5034 -63.1877 26.2991
116 575 19886 25.1641 -73.6189 12.0683
117 580 19885 26.8807 -77.3372 0.293577
118 585 19884 25.8559 -73.7739 -9.17541
119 590 19883 25.3504 -68.0881 -13.5994
120 595 19882 30.1442 -62.7137 -13.7704
121 600 19881 36.5178 -55.8716 -10.2317
122 605 19880 39.4472 -44.0429 -1.50798
123 610 19879 37.1832 -25.5246 7.68849
124 615 19878 30.4988 -2.61962 10.1104
125 620 19877 23.9943 17.9183 7.93871
126 625 19876 25.1403 30.0969 5.7991
127 630 19875 35.6228 33.0587 1.79834
128 635 19874 48.4977 27.2361 -5.04265
129 640 19873 54.7722 16.984 -11.2199
130 645 19872 52.5978 7.92105 -13.8287
131 650 19871 47.263 -4.18008 -14.6867
132 655 19870 43.5678 -23.4793 -15.5625
133 660 19869 41.0114 -44.2328 -12.7361
134 665 19868 36.4942 -54.9018 -5.15428
135 670 19867 28.2127 -51.5848 3.42321
136 675 19866 17.2549 -42.8664 10.1485
137 680 19865 7.60863 -37.8495 14.5674
138 685 19864 1.93841 -35.3973 17.4187
139 690 19863 2.24483 -30.6925 18.5344
140 695 19862 6.92275 -25.7501 17.3569
141 700 19861 13.199 -23.3884 12.3094
142 705 19860 23.7003 -20.1841 5.34422
143 710 19859 39.6019 -16.9931 1.71795
144 715 19858 58.7182 -18.2042 2.20656
145 720 19857 76.8025 -22.005 2.44379
146 725 19856 86.5684 -21.9478 -0.665311
147 730 19855 84.4655 -13.8498 -5.33832
148 735 19854 72.42 0.950478 -8.89617
149 740 19853 52.4405 14.5231 -8.14651
150 745 19852 28.8325 18.0807 -2.27677
151 750 19851 6.64895 9.55776 5.15785
152 755 19850 -8.74437 -5.47142 12.4082
153 760 19849 -15.4665 -18.4896 18.9172
154 765 19848 -13.324 -24.61 24.5935
155 770 19847 -4.35213 -24.9674 30.2092
156 775 19846 3.36309 -22.9316 30.8706
157 780 19845 1.91262 -18.9713 23.248
158 785 19844 -7.30924 -13.147 12.8421
159 790 19843 -16.7896 -6.96482 11.5943
160 795 19842 -24.1992 -0.75365 22.7718
161 800 19841 -29.6093 7.61633 34.3762
162 805 19840 -33.8101 18.713 35.6287
163 810 19839 -38.8137 30.0022 25.7909
