# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000      -3.69149156e-15    -1.205309640243e-03     1.944589406729e-03     3.560894497481e-03
          1.24024120      -1.37390099e-15    -1.103905000754e-03     1.944586480021e-03     3.560818688291e-03
          2.48048240       2.70616862e-15    -1.009095265812e-03     1.944577013986e-03     3.560643506746e-03
          3.72072360       2.26207941e-15    -9.195906332486e-04     1.944559370744e-03     3.560395565524e-03
          4.96096480      -1.94289029e-16    -8.352911023222e-04     1.944550023853e-03     3.560116974792e-03
          6.20120600       1.26287869e-15    -7.586493538998e-04     1.944557918595e-03     3.559770834606e-03
          7.44144720       1.80411242e-16    -6.908448188958e-04     1.944556067357e-03     3.559305274233e-03
          8.68168840      -1.54043445e-15    -6.326176055707e-04     1.944544841622e-03     3.558731384717e-03
          9.92192960       5.55111512e-16    -5.856004033014e-04     1.944528456067e-03     3.558076807589e-03
         11.16217080      -1.70696790e-15    -5.503516899523e-04     1.944516903195e-03     3.557342723510e-03
         12.40241200       1.69309011e-15    -5.270327570424e-04     1.944505976178e-03     3.556539926703e-03
         13.64265320       3.19189120e-16    -5.158398953284e-04     1.944490402858e-03     3.555687293956e-03
         14.88289440      -1.91513472e-15    -5.165958670026e-04     1.944476629601e-03     3.554804828472e-03
         16.12313560       3.05311332e-15    -5.287600106563e-04     1.944452113413e-03     3.553903664592e-03
         17.36337680      -6.93889390e-16    -5.516124954554e-04     1.944429642349e-03     3.553010698818e-03
         18.60361800       2.02615702e-15    -5.844994620077e-04     1.944389174146e-03     3.552136185553e-03
         19.84385921       3.88578059e-16    -6.264260968565e-04     1.944344038868e-03     3.551307837517e-03
         21.08410041      -1.45716772e-15    -6.763604883644e-04     1.944292950220e-03     3.550542587169e-03
         22.32434161      -2.08166817e-16    -7.331538850575e-04     1.944234526138e-03     3.549857794954e-03
         23.56458281      -1.22124533e-15    -7.956289397142e-04     1.944171362737e-03     3.549262595904e-03
         24.80482401      -1.85962357e-15    -8.626262315796e-04     1.944102487374e-03     3.548769700309e-03
         26.04506521      -3.73312492e-15    -9.329216791065e-04     1.944036294222e-03     3.548393105609e-03
         27.28530641      -4.16333634e-16    -1.005407193872e-03     1.943981008299e-03     3.548139911667e-03
         28.52554761      -2.56739074e-15    -1.078901590835e-03     1.943931843282e-03     3.548019783657e-03
         29.76578881       2.70616862e-15    -1.152378108726e-03     1.943889041960e-03     3.548035431869e-03
         31.00603001      -1.09634524e-15    -1.224742735003e-03     1.943838346739e-03     3.548195176845e-03
         32.24627121      -1.52655666e-16    -1.295018567550e-03     1.943776493344e-03     3.548493121884e-03
         33.48651241      -1.27675648e-15    -1.362262468641e-03     1.943713167956e-03     3.548930173550e-03
         34.72675361       3.74700271e-16    -1.425684983319e-03     1.943660586163e-03     3.549493279921e-03
         35.96699481      -1.26287869e-15    -1.484619305906e-03     1.943624176750e-03     3.550179650812e-03
         37.20723601       1.24900090e-16    -1.538455122763e-03     1.943591030206e-03     3.550981633764e-03
         38.44747721      -1.65145675e-15    -1.586573183233e-03     1.943575406310e-03     3.551902564987e-03
         39.68771841      -6.66133815e-16    -1.628321434571e-03     1.943574986488e-03     3.552930076937e-03
         40.92795961       5.41233725e-16    -1.663253247945e-03     1.943597907638e-03     3.554062989432e-03
         42.16820081      -2.10942375e-15    -1.691132836367e-03     1.943629516280e-03     3.555269907431e-03
         43.40844201      -1.99840144e-15    -1.711828931438e-03     1.943668133969e-03     3.556518130503e-03
         44.64868321      -8.04911693e-16    -1.725231866371e-03     1.943719329889e-03     3.557779948112e-03
         45.88892441      -1.67921232e-15    -1.731321637917e-03     1.943787062940e-03     3.559060898990e-03
         47.12916561      -9.15933995e-16    -1.730183428852e-03     1.943861356752e-03     3.560370650316e-03
         48.36940681       4.71844785e-16    -1.721905925940e-03     1.943929012370e-03     3.561719421336e-03
         49.60964801      -1.11022302e-16    -1.706595706815e-03     1.943996351645e-03     3.563048427585e-03
         50.84988921       6.66133815e-16    -1.684458296632e-03     1.944082683142e-03     3.564290617843e-03
         52.09013041      -4.10782519e-15    -1.655852662615e-03     1.944191861510e-03     3.565460592511e-03
         53.33037161      -2.62290190e-15    -1.621400576674e-03     1.944310826174e-03     3.566612640100e-03
         54.57061281       1.23512311e-15    -1.581770732688e-03     1.944418691623e-03     3.567714527692e-03
         55.81085401       4.16333634e-16    -1.537470645931e-03     1.944509019316e-03     3.568681839845e-03
         57.05109521      -2.45636844e-15    -1.488971281483e-03     1.944602059336e-03     3.569460841145e-03
         58.29133642       1.08246745e-15    -1.436925175275e-03     1.944713284870e-03     3.570046037881e-03
