command,mean,stddev,median,user,system,min,max,parameter
./optimized_ls_1d -n100000 -d0.01 -l1,3.0968499680650003,0.013046172880899744,3.0972883130650004,1.5208126549999998,1.633671085,3.068566964565,3.111704728565,1
./optimized_ls_1d -n100000 -d0.01 -l2,2.190230260365,0.033435530935518744,2.202668628565,0.8947091549999998,1.357517885,2.133704709565,2.234609506565,2
./optimized_ls_1d -n100000 -d0.01 -l3,1.1352916525650003,0.008020396409828842,1.1362295425650002,0.063129455,1.134470685,1.121853083565,1.1489548225650001,3
./optimized_ls_1d -n100000 -d0.01 -l4,1.7215328756650004,0.006786194868920151,1.722256653065,0.597619555,1.166811785,1.712276560565,1.730873887565,4
./optimized_ls_1d -n100000 -d0.01 -l5,1.6679112574650001,0.009695008136314489,1.668821785565,0.5362234549999998,1.168002785,1.648257187565,1.6799248755650003,5
./optimized_ls_1d -n100000 -d0.01 -l6,1.139317135665,0.00823204760798787,1.137632895065,0.06521035500000001,1.1417786849999998,1.128809696565,1.1531196085650002,6
./optimized_ls_1d -n100000 -d0.01 -l7,1.1346063611650001,0.0069007097835345815,1.131790718565,0.063439055,1.1317684849999998,1.126737672565,1.1474002625650002,7
./optimized_ls_1d -n100000 -d0.01 -l8,1.135311778265,0.006492616634890371,1.1354838440650001,0.061237155,1.1396449849999999,1.120461063565,1.142221468565,8
./optimized_ls_1d -n100000 -d0.01 -l9,1.1297447577650002,0.007186535672243411,1.1313286155650002,0.05990755499999999,1.1443479849999998,1.112999809565,1.1363172995650002,9
./optimized_ls_1d -n100000 -d0.01 -l10,1.5753309803650002,0.005689412357742848,1.575711015565,0.48236405499999996,1.1519369849999999,1.568003198565,1.585028023565,10
./optimized_ls_1d -n100000 -d0.01 -l11,1.1315282781650002,0.0037210403204737696,1.1315495580650001,0.061313755000000005,1.1406094850000001,1.124701444565,1.138759928565,11
./optimized_ls_1d -n100000 -d0.01 -l12,1.1360402998650003,0.00864327907111935,1.134420004565,0.062444454999999996,1.141971485,1.1288112085650002,1.1581049465650002,12
./optimized_ls_1d -n100000 -d0.01 -l13,1.1412064303650002,0.00568135471473525,1.1400840030650001,0.062568455,1.147779885,1.1318578645650001,1.1531563795650002,13
./optimized_ls_1d -n100000 -d0.01 -l14,1.1417430502650001,0.005181557123478141,1.141879055065,0.063625355,1.1469992850000001,1.1329201285650001,1.149240656565,14
./optimized_ls_1d -n100000 -d0.01 -l15,1.143727466065,0.006762111581885825,1.1415782235650003,0.065275255,1.1420462849999997,1.133455455565,1.155088975565,15
./optimized_ls_1d -n100000 -d0.01 -l16,1.141031864665,0.010766950503842168,1.1430116910650001,0.06693055499999999,1.154934585,1.1152169815650002,1.1514376405650002,16
./optimized_ls_1d -n100000 -d0.01 -l17,1.137440450065,0.005243735697727287,1.137263629565,0.064107755,1.1379434849999999,1.129220095565,1.145163561565,17
./optimized_ls_1d -n100000 -d0.01 -l18,1.140635233665,0.015567935357735435,1.143514351065,0.062432255000000006,1.143384185,1.1182438975650002,1.170002995565,18
./optimized_ls_1d -n100000 -d0.01 -l19,1.137764668465,0.012605681669189068,1.1345455650650003,0.065981455,1.129634785,1.1224969395650002,1.158642545565,19
./optimized_ls_1d -n100000 -d0.01 -l20,1.5841093287650003,0.01489529483962017,1.5809368940650002,0.48269205499999995,1.1443113849999997,1.5571540975650002,1.609735643565,20
./optimized_ls_1d -n100000 -d0.01 -l21,1.1413553822650002,0.008900425828092726,1.139188064565,0.062429455,1.1337837849999999,1.131860672565,1.163907738565,21
./optimized_ls_1d -n100000 -d0.01 -l22,1.140155934165,0.006621678056162025,1.1393412930650002,0.063883155,1.151102285,1.1320618425650002,1.1563043585650001,22
./optimized_ls_1d -n100000 -d0.01 -l23,1.1396571476650004,0.005754694908764418,1.1380875105650001,0.061618154999999994,1.141825785,1.131869864565,1.151262832565,23
./optimized_ls_1d -n100000 -d0.01 -l24,1.136380881665,0.009231800625951157,1.1356557075650002,0.06061115499999999,1.1391109849999999,1.1267689005650001,1.156918970565,24
./optimized_ls_1d -n100000 -d0.01 -l25,1.5578591048650003,0.012792970641424012,1.561454178565,0.4699306549999999,1.132071685,1.533848688565,1.5750113325650001,25
./optimized_ls_1d -n100000 -d0.01 -l26,1.141719828465,0.012860058663548302,1.144263379065,0.064174655,1.137001285,1.1233898715650001,1.1611157655650002,26
./optimized_ls_1d -n100000 -d0.01 -l27,1.136263100865,0.007997186833811095,1.140255067065,0.064029155,1.137967385,1.1198103025650001,1.1441098575650002,27
./optimized_ls_1d -n100000 -d0.01 -l28,1.1403528548650002,0.012280137270121675,1.1381156320649999,0.065714355,1.1439142850000001,1.1230859665650001,1.169746891565,28
./optimized_ls_1d -n100000 -d0.01 -l29,1.1360028474650001,0.007251069346077486,1.137072859565,0.065094955,1.156940285,1.120347889565,1.1480901975650002,29
./optimized_ls_1d -n100000 -d0.01 -l30,1.142195450465,0.009522325797884207,1.142923278065,0.063505455,1.148739885,1.1226283885650001,1.1542128575650001,30
./optimized_ls_1d -n100000 -d0.01 -l31,1.141170204265,0.01112704747552914,1.141324210065,0.063341955,1.1482932849999998,1.125027923565,1.163516765565,31
./optimized_ls_1d -n100000 -d0.01 -l32,1.1421660493650003,0.00578138120576539,1.141874198065,0.06363575499999999,1.1374438850000002,1.133741168565,1.151972878565,32
